"Name","Postsecondary Enrollment"
"Description","The postsecondary enrollment rate shows the percentage of students who graduated and enrolled in a two- or four-year college, vocational program, approved apprenticeship or public service
<strong>within 6 or 18 months</strong> of their scheduled graduation date. For the 2019-20 data, the 6 month rate evaluates students who first entered high school during the 2015-16 school year / &ldquo;Class of 2019&rdquo;; the 18 month rate evaluates students who first entered high school during the 2014-15
school year / &ldquo;Class of 2018&rdquo;.<br />
<br />
CCC's analysis represents the&nbsp;<strong><em>average&nbsp;</em></strong>postsecondary enrollment rate from all high schools (public and charter) within a given geography."
"Source Notes","CCC analysis of New York City Department of Education, School Quality Report Results for high schools (school years 2015-16 to 2019-20); retrieved from&nbsp;<a href=""https://infohub.nyced.org/reports/school-quality/school-quality-reports-and-resources/school-quality-report-citywide-data"" target=""_blank"">https://infohub.nyced.org/reports/school-quality/school-quality-reports-and-resources/school-quality-report-citywide-data</a>."
"Notes",""

Location,Total,TimeFrame,DataFormat,Data,Fips
Concourse/Highbridge,Within 6 months,2017,Percent,0.57,204
University Heights,Within 6 months,2017,Percent,0.7,205
East Tremont,Within 6 months,2017,Percent,0.51,206
Bedford Park,Within 6 months,2017,Percent,0.52,207
Riverdale,Within 6 months,2017,Percent,0.67,208
Unionport/Soundview,Within 6 months,2017,Percent,0.42,209
Throgs Neck,Within 6 months,2017,Percent,0.52,210
Pelham Parkway,Within 6 months,2017,Percent,0.58,211
Williamsbridge,Within 6 months,2017,Percent,0.49,212
Williamsburg/Greenpoint,Within 6 months,2017,Percent,0.52,301
Fort Greene/Brooklyn Hts,Within 6 months,2017,Percent,0.66,302
Bedford Stuyvesant,Within 6 months,2017,Percent,0.46,303
Bushwick,Within 6 months,2017,Percent,0.54,304
East New York,Within 6 months,2017,Percent,0.46,305
Park Slope,Within 6 months,2017,Percent,0.66,306
Sunset Park,Within 6 months,2017,Percent,0.7,307
Crown Heights North,Within 6 months,2017,Percent,0.65,308
Crown Heights South,Within 6 months,2017,Percent,0.59,309
Bay Ridge,Within 6 months,2017,Percent,0.7,310
Bensonhurst,Within 6 months,2017,Percent,0.62,311
